name,url,category,sub_category,price,price_per_unit,price_unit,quantity,weight_per_unit,weight_unit,energy_kj,energy_kcal,fat (g),of which saturates (g),carbohydrate (g),of which sugars (g),fibre (g),protein (g),salt (g),fatlow (g),of which saturateslow (g),of which sugarsmedium (g),saltlow (g),of which sugarshigh (g),saltmedium (g),of which sugarslow (g),salthigh (g),of which mono-unsaturates (g),fathigh (g),of which saturatesmedium (g),fatmedium (g),of which saturateshigh (g),sodium (g),energy value in kj (g),energy value in kcal (g),vitamin b1 (thiamin) (g),vitamin b2 (riboflavin) (g),niacin (g),vitamin b6 (g),folic acid / folate (g),iron (g),magnesium (g),of which polyvalents alcohols (g),phosphorus (g),mangan (g),vitamin b12 (g),vitamin d (g),pantothenic acid (g),calcium (g),folic acid (g),vitamin e (g),vitamin k (g),vitamin c (g),biotin (g),omega-3 fatty acids (g),potassium (g),zinc (g),alpha linolenic acid (omega-3 fatty acids) (g),water (g),omega-6 fatty acids (g),iodine (g),fluoride (g),of which starch (g),vitamin a (g),cholesterin (g),selen (g),caffeine (g),copper (g),silicon (g),bicarbonate (or hydrogen carbonate) (g),nitrate (g),sulfate (g),chloride (g),sulphate 4+ (g),minerals (g)
Migros Bio · blueberries,https://www.migros.ch/en/product/265680802400,fruits-vegetables,fruits,7.9,3.16,100g,1.0,250.0,g,174.0,42.0,0.6,0.0,6.0,6.0,5.0,0.6,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dates,https://www.migros.ch/en/product/264601302100,fruits-vegetables,fruits,5.95,2.98,100g,1.0,200.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avocado,https://www.migros.ch/en/product/264500313200,fruits-vegetables,fruits,2.8,2.8,Piece,,,nan,643.0,156.0,14.0,2.0,1.8,0.7,7.0,1.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bio Fairtrade · Bananas,https://www.migros.ch/en/product/264280101000,fruits-vegetables,fruits,2.95,0.3,100g,1.0,1000.0,g,403.0,95.0,0.5,0.1,21.0,17.0,2.0,1.1,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio · Avocado,https://www.migros.ch/en/product/264580113200,fruits-vegetables,fruits,2.8,2.8,Piece,,,nan,643.0,156.0,14.0,2.0,1.8,0.7,7.0,1.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio · Apples · Season,https://www.migros.ch/en/product/260283504100,fruits-vegetables,fruits,6.3,0.63,100g,,,nan,232.0,55.0,0.5,0.1,12.0,12.0,2.1,0.5,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fresca · grapes · Coreless, white",https://www.migros.ch/en/product/265300902300,fruits-vegetables,fruits,2.5,0.5,100g,1.0,500.0,g,293.0,69.0,0.5,0.1,15.0,15.0,1.5,0.7,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio · dates · Organic,https://www.migros.ch/en/product/264681502300,fruits-vegetables,fruits,3.95,1.58,100g,1.0,250.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiwi · Gold,https://www.migros.ch/en/product/264400902200,fruits-vegetables,fruits,2.5,0.83,Piece,3.0,,pieces,229.0,54.0,0.6,0.0,10.0,10.0,2.5,1.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blueberries,https://www.migros.ch/en/product/265606702300,fruits-vegetables,fruits,8.9,1.78,100g,1.0,500.0,g,174.0,42.0,0.6,0.0,6.0,6.0,5.0,0.6,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
