url,name,weight,price,price_per_unit,nutritional_values
https://www.migros.ch/en/product/265680802400,Migros Bio · blueberries,250g,7.90,3.16/100g,"{'Energy': '174 kJ (42 kcal)', 'Fat': '0.6 g', 'of which saturates': '0 g', 'Carbohydrate': '6 g', 'of which sugars': '6 g', 'Fibre': '5 g', 'Protein': '0.6 g', 'Salt': '< 0.01 g'}"
https://www.migros.ch/en/product/264601302100,Dates,200g,5.95,2.98/100g,{}
https://www.migros.ch/en/product/264500313200,Avocado,,2.80,2.80/Piece,"{'Energy': '643 kJ (156 kcal)', 'Fat': '14 g', 'of which saturates': '2 g', 'Carbohydrate': '1.8 g', 'of which sugars': '0.7 g', 'Fibre': '7 g', 'Protein': '1.8 g', 'Salt': '0 g'}"
https://www.migros.ch/en/product/264280101000,Bio Fairtrade · Bananas,1 kg,2.95,0.30/100g,"{'Energy': '403 kJ (95 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0.1 g', 'Carbohydrate': '21 g', 'of which sugars': '17 g', 'Fibre': '2 g', 'Protein': '1.1 g', 'Salt': '< 0.01 g'}"
https://www.migros.ch/en/product/264580113200,Migros Bio · Avocado,,2.80,2.80/Piece,"{'Energy': '643 kJ (156 kcal)', 'Fat': '14 g', 'of which saturates': '2 g', 'Carbohydrate': '1.8 g', 'of which sugars': '0.7 g', 'Fibre': '7 g', 'Protein': '1.8 g', 'Salt': '0 g'}"
https://www.migros.ch/en/product/260283504100,Migros Bio · Apples · Season,,6.30,0.63/100g,"{'Energy': '232 kJ (55 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0.1 g', 'Carbohydrate': '12 g', 'of which sugars': '12 g', 'Fibre': '2.1 g', 'Protein': '< 0.5 g', 'Salt': '0.01 g'}"
https://www.migros.ch/en/product/265300902300,"Fresca · grapes · Coreless, white",500g,2.50,0.50/100g,"{'Energy': '293 kJ (69 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0.1 g', 'Carbohydrate': '15 g', 'of which sugars': '15 g', 'Fibre': '1.5 g', 'Protein': '0.7 g', 'Salt': '< 0.01 g'}"
https://www.migros.ch/en/product/264681502300,Migros Bio · dates · Organic,250g,3.95,1.58/100g,{}
https://www.migros.ch/en/product/264400902200,Kiwi · Gold,3 Stück,2.50,0.83/piece,"{'Energy': '229 kJ (54 kcal)', 'Fat': '0.6 g', 'of which saturates': '0 g', 'Carbohydrate': '10 g', 'of which sugars': '10 g', 'Fibre': '2.5 g', 'Protein': '1 g', 'Salt': '0.01 g'}"
https://www.migros.ch/en/product/265606702300,Blueberries,500g,8.90,1.78/100g,"{'Energy': '174 kJ (42 kcal)', 'Fat': '0.6 g', 'of which saturates': '0 g', 'Carbohydrate': '6 g', 'of which sugars': '6 g', 'Fibre': '5 g', 'Protein': '0.6 g', 'Salt': '< 0.01 g'}"
https://www.migros.ch/en/product/263500513200,Lemon,1kg,2.50,0.25/100g,"{'Energy': '101 kJ (24 kcal)', 'Fat': '0.6 g', 'of which saturates': '0.1 g', 'Carbohydrate': '3 g', 'of which sugars': '3 g', 'Fibre': '2 g', 'Protein': '0.7 g', 'Salt': '0 g'}"
https://www.migros.ch/en/product/264617813200,Sélection · Mango,1 Stück,5.95,5.95/piece,"{'Energy': '258 kJ (61 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0.1 g', 'Carbohydrate': '13 g', 'of which sugars': '13 g', 'Fibre': '1.5 g', 'Protein': '0.6 g', 'Salt': '< 0.01 g'}"
https://www.migros.ch/en/product/264480102300,Migros Bio · kiwi · green,500g,3.70,0.74/100g,"{'Energy': '229 kJ (54 kcal)', 'Fat': '0.6 g', 'of which saturates': '0 g', 'Carbohydrate': '10 g', 'of which sugars': '10 g', 'Fibre': '2.5 g', 'Protein': '1 g', 'Salt': '0.01 g'}"
https://www.migros.ch/en/product/264680113200,Migros Bio · Mango,1 Stück,3.95,3.95/piece,"{'Energy': '258 kJ (61 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0.1 g', 'Carbohydrate': '13 g', 'of which sugars': '13 g', 'Fibre': '1.5 g', 'Protein': '0.6 g', 'Salt': '< 0.01 g'}"
https://www.migros.ch/en/product/265301002500,"Extra · grapes · Muscat, seedless",500g,3.80,0.76/100g,"{'Energy': '293 kJ (69 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0.1 g', 'Carbohydrate': '15 g', 'of which sugars': '15 g', 'Fibre': '1.5 g', 'Protein': '0.7 g', 'Salt': '< 0.01 g'}"
https://www.migros.ch/en/product/264683102100,Migros Bio · Ginger · Organic,1 kg,8.90,0.89/100g,"{'Energy': '352 kJ (83 kcal)', 'Fat': '0.8 g', 'of which saturates': '0.2 g', 'Carbohydrate': '16 g', 'of which sugars': '1.5 g', 'Fibre': '2 g', 'Protein': '2 g', 'Salt': '0 g'}"
https://www.migros.ch/en/product/265383002300,Migros Bio · grapes · seedless,500g,4.50,0.90/100g,"{'Energy': '293 kJ (69 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0.1 g', 'Carbohydrate': '15 g', 'of which sugars': '15 g', 'Fibre': '1.5 g', 'Protein': '0.7 g', 'Salt': '< 0.01 g'}"
https://www.migros.ch/en/product/260505302100,Pears · Williams,,3.30,0.22/100g,"{'Energy': '246 kJ (58 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0 g', 'Carbohydrate': '12 g', 'of which sugars': '10 g', 'Fibre': '3 g', 'Protein': '< 0.5 g', 'Salt': '0 g'}"
https://www.migros.ch/en/product/264681002300,Migros Bio · lime,250g,2.50,1.–/100g,"{'Energy': '76 kJ (18 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0 g', 'Carbohydrate': '1.9 g', 'of which sugars': '1.9 g', 'Fibre': '3 g', 'Protein': '0.7 g', 'Salt': '< 0.01 g'}"
